Batch Size: 64, Num Layer: 2, Num Neuron: 100, Learning Rate: 0.01000 -- Average: 0.040, Max: 0.22445
Batch Size: 64, Num Layer: 2, Num Neuron: 100, Learning Rate: 0.00100 -- Average: 0.045, Max: 0.19562
Batch Size: 64, Num Layer: 2, Num Neuron: 100, Learning Rate: 0.00010 -- Average: 0.059, Max: 0.20876
Batch Size: 64, Num Layer: 2, Num Neuron: 150, Learning Rate: 0.01000 -- Average: 0.042, Max: 0.21757
Batch Size: 64, Num Layer: 2, Num Neuron: 150, Learning Rate: 0.00100 -- Average: 0.044, Max: 0.19897
Batch Size: 64, Num Layer: 2, Num Neuron: 150, Learning Rate: 0.00010 -- Average: 0.059, Max: 0.20660
Batch Size: 64, Num Layer: 2, Num Neuron: 200, Learning Rate: 0.01000 -- Average: 0.043, Max: 0.21923
Batch Size: 64, Num Layer: 2, Num Neuron: 200, Learning Rate: 0.00100 -- Average: 0.043, Max: 0.18952
Batch Size: 64, Num Layer: 2, Num Neuron: 200, Learning Rate: 0.00010 -- Average: 0.057, Max: 0.17574
Batch Size: 64, Num Layer: 2, Num Neuron: 250, Learning Rate: 0.01000 -- Average: 0.044, Max: 0.22364
Batch Size: 64, Num Layer: 2, Num Neuron: 250, Learning Rate: 0.00100 -- Average: 0.043, Max: 0.21787
Batch Size: 64, Num Layer: 2, Num Neuron: 250, Learning Rate: 0.00010 -- Average: 0.056, Max: 0.18137
Batch Size: 64, Num Layer: 4, Num Neuron: 100, Learning Rate: 0.01000 -- Average: 0.033, Max: 0.19413
Batch Size: 64, Num Layer: 4, Num Neuron: 100, Learning Rate: 0.00100 -- Average: 0.035, Max: 0.22342
Batch Size: 64, Num Layer: 4, Num Neuron: 100, Learning Rate: 0.00010 -- Average: 0.054, Max: 0.18475
Batch Size: 64, Num Layer: 4, Num Neuron: 150, Learning Rate: 0.01000 -- Average: 0.034, Max: 0.18350
Batch Size: 64, Num Layer: 4, Num Neuron: 150, Learning Rate: 0.00100 -- Average: 0.034, Max: 0.22477
Batch Size: 64, Num Layer: 4, Num Neuron: 150, Learning Rate: 0.00010 -- Average: 0.051, Max: 0.18578
Batch Size: 64, Num Layer: 4, Num Neuron: 200, Learning Rate: 0.01000 -- Average: 0.037, Max: 0.16742
Batch Size: 64, Num Layer: 4, Num Neuron: 200, Learning Rate: 0.00100 -- Average: 0.034, Max: 0.22362
Batch Size: 64, Num Layer: 4, Num Neuron: 200, Learning Rate: 0.00010 -- Average: 0.050, Max: 0.18917
Batch Size: 64, Num Layer: 4, Num Neuron: 250, Learning Rate: 0.01000 -- Average: 0.038, Max: 0.18005
Batch Size: 64, Num Layer: 4, Num Neuron: 250, Learning Rate: 0.00100 -- Average: 0.034, Max: 0.21294
Batch Size: 64, Num Layer: 4, Num Neuron: 250, Learning Rate: 0.00010 -- Average: 0.049, Max: 0.19903
Batch Size: 64, Num Layer: 6, Num Neuron: 100, Learning Rate: 0.01000 -- Average: 0.032, Max: 0.16083
Batch Size: 64, Num Layer: 6, Num Neuron: 100, Learning Rate: 0.00100 -- Average: 0.031, Max: 0.16951
Batch Size: 64, Num Layer: 6, Num Neuron: 100, Learning Rate: 0.00010 -- Average: 0.050, Max: 0.17937
Batch Size: 64, Num Layer: 6, Num Neuron: 150, Learning Rate: 0.01000 -- Average: 0.034, Max: 0.12413
Batch Size: 64, Num Layer: 6, Num Neuron: 150, Learning Rate: 0.00100 -- Average: 0.030, Max: 0.16260
Batch Size: 64, Num Layer: 6, Num Neuron: 150, Learning Rate: 0.00010 -- Average: 0.045, Max: 0.17453
Batch Size: 64, Num Layer: 6, Num Neuron: 200, Learning Rate: 0.01000 -- Average: 0.035, Max: 0.12730
Batch Size: 64, Num Layer: 6, Num Neuron: 200, Learning Rate: 0.00100 -- Average: 0.030, Max: 0.15730
Batch Size: 64, Num Layer: 6, Num Neuron: 200, Learning Rate: 0.00010 -- Average: 0.042, Max: 0.18882
Batch Size: 64, Num Layer: 6, Num Neuron: 250, Learning Rate: 0.01000 -- Average: 0.038, Max: 0.13679
Batch Size: 64, Num Layer: 6, Num Neuron: 250, Learning Rate: 0.00100 -- Average: 0.031, Max: 0.18352
Batch Size: 64, Num Layer: 6, Num Neuron: 250, Learning Rate: 0.00010 -- Average: 0.040, Max: 0.20746
Batch Size: 64, Num Layer: 8, Num Neuron: 100, Learning Rate: 0.01000 -- Average: 0.033, Max: 0.13956
Batch Size: 64, Num Layer: 8, Num Neuron: 100, Learning Rate: 0.00100 -- Average: 0.028, Max: 0.15556
Batch Size: 64, Num Layer: 8, Num Neuron: 100, Learning Rate: 0.00010 -- Average: 0.045, Max: 0.18200
Batch Size: 64, Num Layer: 8, Num Neuron: 150, Learning Rate: 0.01000 -- Average: 0.035, Max: 0.12586
Batch Size: 64, Num Layer: 8, Num Neuron: 150, Learning Rate: 0.00100 -- Average: 0.028, Max: 0.13504
Batch Size: 64, Num Layer: 8, Num Neuron: 150, Learning Rate: 0.00010 -- Average: 0.039, Max: 0.19986
Batch Size: 64, Num Layer: 8, Num Neuron: 200, Learning Rate: 0.01000 -- Average: 0.038, Max: 0.13810
Batch Size: 64, Num Layer: 8, Num Neuron: 200, Learning Rate: 0.00100 -- Average: 0.028, Max: 0.13121
Batch Size: 64, Num Layer: 8, Num Neuron: 200, Learning Rate: 0.00010 -- Average: 0.038, Max: 0.16735
Batch Size: 64, Num Layer: 8, Num Neuron: 250, Learning Rate: 0.01000 -- Average: 0.436, Max: 0.58368
Batch Size: 64, Num Layer: 8, Num Neuron: 250, Learning Rate: 0.00100 -- Average: 0.029, Max: 0.12810
Batch Size: 64, Num Layer: 8, Num Neuron: 250, Learning Rate: 0.00010 -- Average: 0.037, Max: 0.17979
