port 2:T: Re(T) vs lambda

lambda(microns), Re(T)
350, 0.330748
348.592, 0.336428
347.194, 0.341999
345.808, 0.347366
344.433, 0.352416
343.069, 0.357025
341.716, 0.361064
340.373, 0.364404
339.041, 0.366926
337.719, 0.368527
336.408, 0.369124
335.106, 0.368665
333.815, 0.367121
332.534, 0.364499
331.262, 0.360833
330, 0.356189
328.748, 0.350659
327.505, 0.344363
326.271, 0.337442
325.047, 0.330061
323.832, 0.322399
322.626, 0.314644
321.429, 0.306992
320.24, 0.299635
319.061, 0.29276
317.89, 0.286537
316.728, 0.281115
315.574, 0.276619
314.428, 0.273141
313.291, 0.270743
312.162, 0.26945
311.041, 0.269253
309.928, 0.270108
308.824, 0.271937
307.726, 0.274632
306.637, 0.27806
305.556, 0.282065
304.482, 0.286475
303.415, 0.29111
302.356, 0.295782
301.304, 0.30031
300.26, 0.304517
299.223, 0.308246
298.193, 0.311356
297.17, 0.313733
296.154, 0.315291
295.145, 0.315975
294.143, 0.31576
293.147, 0.314655
292.159, 0.312699
291.176, 0.309957
290.201, 0.306522
289.232, 0.302508
288.27, 0.298045
287.313, 0.293274
286.364, 0.288344
285.42, 0.283402
284.483, 0.278592
283.552, 0.274045
282.626, 0.269877
281.707, 0.266184
280.794, 0.263035
279.887, 0.260477
278.986, 0.258525
278.09, 0.257169
277.2, 0.25637
276.316, 0.256062
275.437, 0.256158
274.564, 0.256552
273.697, 0.257118
272.835, 0.257725
271.978, 0.25823
271.127, 0.258493
270.281, 0.258379
269.44, 0.25776
268.605, 0.256525
267.774, 0.254581
266.949, 0.25186
266.129, 0.248317
265.314, 0.243938
264.504, 0.238736
263.699, 0.232751
262.898, 0.226054
262.103, 0.218738
261.312, 0.210919
260.526, 0.202732
259.745, 0.194326
258.969, 0.185859
258.197, 0.177494
257.429, 0.169391
256.667, 0.161707
255.908, 0.154587
255.155, 0.14816
254.405, 0.142533
253.66, 0.137791
252.92, 0.133991
252.183, 0.131162
251.451, 0.129299
250.724, 0.128367
250, 0.128298


port 3:T: Re(T) vs lambda

lambda(microns), Re(T)
350, 0.325611
348.592, 0.320934
347.194, 0.317356
345.808, 0.315048
344.433, 0.314136
343.069, 0.31469
341.716, 0.316735
340.373, 0.320247
339.041, 0.32516
337.719, 0.331364
336.408, 0.338717
335.106, 0.347041
333.815, 0.356132
332.534, 0.365762
331.262, 0.375685
330, 0.385642
328.748, 0.395367
327.505, 0.404594
326.271, 0.413064
325.047, 0.420536
323.832, 0.426788
322.626, 0.431629
321.429, 0.434904
320.24, 0.436499
319.061, 0.436341
317.89, 0.434404
316.728, 0.430708
315.574, 0.425317
314.428, 0.41834
313.291, 0.409926
312.162, 0.400261
311.041, 0.389565
309.928, 0.378082
308.824, 0.366079
307.726, 0.353834
306.637, 0.34163
305.556, 0.329745
304.482, 0.318445
303.415, 0.307975
302.356, 0.298554
301.304, 0.290366
300.26, 0.283555
299.223, 0.278226
298.193, 0.274434
297.17, 0.272192
296.154, 0.271463
295.145, 0.272167
294.143, 0.274181
293.147, 0.277346
292.159, 0.281466
291.176, 0.286323
290.201, 0.291678
289.232, 0.297279
288.27, 0.302874
287.313, 0.308211
286.364, 0.313056
285.42, 0.31719
284.483, 0.320424
283.552, 0.3226
282.626, 0.323596
281.707, 0.32333
280.794, 0.321763
279.887, 0.318896
278.986, 0.314775
278.09, 0.309485
277.2, 0.303148
276.316, 0.295921
275.437, 0.287987
274.564, 0.279553
273.697, 0.270842
272.835, 0.262084
271.978, 0.25351
271.127, 0.245346
270.281, 0.237802
269.44, 0.231071
268.605, 0.225319
267.774, 0.220682
266.949, 0.217263
266.129, 0.21513
265.314, 0.214309
264.504, 0.214794
263.699, 0.216536
262.898, 0.219453
262.103, 0.223432
261.312, 0.228329
260.526, 0.233978
259.745, 0.240193
258.969, 0.246778
258.197, 0.253529
257.429, 0.260246
256.667, 0.266733
255.908, 0.272809
255.155, 0.278311
254.405, 0.283099
253.66, 0.287061
252.92, 0.290109
252.183, 0.292187
251.451, 0.293264
250.724, 0.293333
250, 0.292408


