T2:T: Re(T) vs lambda
lambda(m)	Re(T)
0.000275	0.347421
0.000277	0.344809
0.000279	0.350695
0.000281	0.361667
0.000283	0.36146
0.000285	0.354227
0.000287	0.370989
0.000289	0.402015
0.000291	0.392944
0.000293	0.350821
0.000295	0.348509
0.000297	0.351614
0.000299	0.346428
0.000301	0.358525
0.000303	0.3731
0.000305	0.357093
0.000307	0.332801
0.000309	0.334087
0.000311	0.352787
0.000313	0.350873
0.000315	0.355001
0.000317	0.36589
0.000319	0.38291
0.000321	0.3891
0.000323	0.373532
0.000325	0.354814

R:T: Re(T) vs lambda
lambda(m)	Re(T)
0.000275	-0.035675
0.000277	-0.0510288
0.000279	-0.0614833
0.000281	-0.0636541
0.000283	-0.056832
0.000285	-0.0465908
0.000287	-0.0385476
0.000289	-0.0349124
0.000291	-0.055209
0.000293	-0.0629231
0.000295	-0.0451893
0.000297	-0.0341752
0.000299	-0.0288979
0.000301	-0.0253723
0.000303	-0.0199876
0.000305	-0.0125587
0.000307	-0.0088994
0.000309	-0.0109214
0.000311	-0.0165687
0.000313	-0.0207363
0.000315	-0.0232402
0.000317	-0.0247955
0.000319	-0.0226835
0.000321	-0.018588
0.000323	-0.0130545
0.000325	-0.00785575

