T2:T: Re(T) vs lambda

lambda(m), Re(T)
0.000275, 0.436432
0.000277, 0.424868
0.000279, 0.394096
0.000281, 0.409819
0.000283, 0.439499
0.000285, 0.422511
0.000287, 0.413936
0.000289, 0.449134
0.000291, 0.459547
0.000293, 0.439997
0.000295, 0.448628
0.000297, 0.460705
0.000299, 0.43135
0.000301, 0.406299
0.000303, 0.418642
0.000305, 0.436151
0.000307, 0.412233
0.000309, 0.396836
0.000311, 0.417727
0.000313, 0.444186
0.000315, 0.439963
0.000317, 0.433256
0.000319, 0.43876
0.000321, 0.437512
0.000323, 0.422281
0.000325, 0.399702


R:T: Re(T) vs lambda

lambda(m), Re(T)
0.000275, -0.0861238
0.000277, -0.101669
0.000279, -0.0761968
0.000281, -0.0380005
0.000283, -0.00773489
0.000285, -0.0110455
0.000287, -0.0253284
0.000289, -0.0331426
0.000291, -0.0359342
0.000293, -0.0197617
0.000295, -0.00513168
0.000297, -0.00450974
0.000299, -0.0185966
0.000301, -0.037987
0.000303, -0.0575341
0.000305, -0.0685245
0.000307, -0.0605695
0.000309, -0.0417648
0.000311, -0.0224335
0.000313, -0.00751412
0.000315, -0.0056911
0.000317, -0.0186243
0.000319, -0.0379272
0.000321, -0.0489544
0.000323, -0.0513008
0.000325, -0.0483307


