T2:T: Re(T) vs lambda

lambda(m), Re(T)
0.000275, 0.369446
0.0002755, 0.371461
0.000276, 0.371887
0.0002765, 0.371846
0.000277, 0.372119
0.0002775, 0.373304
0.000278, 0.375979
0.0002785, 0.380473
0.000279, 0.386372
0.0002795, 0.392293
0.00028, 0.396341
0.0002805, 0.397065
0.000281, 0.394231
0.0002815, 0.388848
0.000282, 0.382489
0.0002825, 0.376514
0.000283, 0.371748
0.0002835, 0.368654
0.000284, 0.367564
0.0002845, 0.368595
0.000285, 0.371312
0.0002855, 0.374594
0.000286, 0.37705
0.0002865, 0.377777
0.000287, 0.376902
0.0002875, 0.375399
0.000288, 0.374312
0.0002885, 0.373987
0.000289, 0.373951
0.0002895, 0.373528
0.00029, 0.372675
0.0002905, 0.37232
0.000291, 0.373909
0.0002915, 0.378463
0.000292, 0.385826
0.0002925, 0.394625
0.000293, 0.402906
0.0002935, 0.408986
0.000294, 0.411998
0.0002945, 0.411913
0.000295, 0.409245
0.0002955, 0.404733
0.000296, 0.399238
0.0002965, 0.393769
0.000297, 0.389454
0.0002975, 0.387343
0.000298, 0.388102
0.0002985, 0.391773
0.000299, 0.397737
0.0002995, 0.404884
0.0003, 0.411861
0.0003005, 0.417327
0.000301, 0.420145
0.0003015, 0.419571
0.000302, 0.41543
0.0003025, 0.408223
0.000303, 0.399082
0.0003035, 0.389526
0.000304, 0.3811
0.0003045, 0.375031
0.000305, 0.372052
0.0003055, 0.3724
0.000306, 0.375907
0.0003065, 0.382081
0.000307, 0.390127
0.0003075, 0.398947
0.000308, 0.407251
0.0003085, 0.413784
0.000309, 0.417636
0.0003095, 0.418485
0.00031, 0.416619
0.0003105, 0.412752
0.000311, 0.407695
0.0003115, 0.402095
0.000312, 0.396341
0.0003125, 0.390657
0.000313, 0.38529
0.0003135, 0.380632
0.000314, 0.377191
0.0003145, 0.375414
0.000315, 0.37548
0.0003155, 0.37716
0.000316, 0.37985
0.0003165, 0.382752
0.000317, 0.385124
0.0003175, 0.386503
0.000318, 0.386816
0.0003185, 0.386357
0.000319, 0.385657
0.0003195, 0.385304
0.00032, 0.385785
0.0003205, 0.387369
0.000321, 0.390059
0.0003215, 0.393613
0.000322, 0.397585
0.0003225, 0.401389
0.000323, 0.404368
0.0003235, 0.405854
0.000324, 0.405241
0.0003245, 0.402082
0.000325, 0.396181


R:T: Re(T) vs lambda

lambda(m), Re(T)
0.000275, -0.0245353
0.0002755, -0.0196493
0.000276, -0.014819
0.0002765, -0.0101516
0.000277, -0.00704795
0.0002775, -0.0074653
0.000278, -0.0123243
0.0002785, -0.0204659
0.000279, -0.0291519
0.0002795, -0.0357257
0.00028, -0.039082
0.0002805, -0.0399115
0.000281, -0.039823
0.0002815, -0.0402632
0.000282, -0.0419945
0.0002825, -0.0451711
0.000283, -0.0495858
0.0002835, -0.0547919
0.000284, -0.0601719
0.0002845, -0.065123
0.000285, -0.0693004
0.0002855, -0.0726714
0.000286, -0.0752663
0.0002865, -0.0768418
0.000287, -0.0768087
0.0002875, -0.0745427
0.000288, -0.0698312
0.0002885, -0.0630706
0.000289, -0.0550589
0.0002895, -0.0465832
0.00029, -0.0381437
0.0002905, -0.0299869
0.000291, -0.0223244
0.0002915, -0.0154861
0.000292, -0.0098683
0.0002925, -0.00575185
0.000293, -0.0031693
0.0002935, -0.00192732
0.000294, -0.00174296
0.0002945, -0.00237667
0.000295, -0.00368497
0.0002955, -0.00560377
0.000296, -0.00811622
0.0002965, -0.0112355
0.000297, -0.0149911
0.0002975, -0.0193988
0.000298, -0.0244246
0.0002985, -0.0299703
0.000299, -0.0358943
0.0002995, -0.0420428
0.0003, -0.0482502
0.0003005, -0.0542971
0.000301, -0.0598625
0.0003015, -0.064528
0.000302, -0.067861
0.0003025, -0.0695455
0.000303, -0.0694876
0.0003035, -0.0678348
0.000304, -0.0649054
0.0003045, -0.0610753
0.000305, -0.0566872
0.0003055, -0.0520191
0.000306, -0.0473028
0.0003065, -0.0427556
0.000307, -0.0385915
0.0003075, -0.0350024
0.000308, -0.0321244
0.0003085, -0.0300093
0.000309, -0.0286195
0.0003095, -0.0278472
0.00031, -0.0275517
0.0003105, -0.0276024
0.000311, -0.0279128
0.0003115, -0.0284496
0.000312, -0.0292103
0.0003125, -0.0301761
0.000313, -0.0312605
0.0003135, -0.0322833
0.000314, -0.0329898
0.0003145, -0.0331103
0.000315, -0.0324393
0.0003155, -0.0308989
0.000316, -0.0285674
0.0003165, -0.0256668
0.000317, -0.0225251
0.0003175, -0.0195285
0.000318, -0.0170753
0.0003185, -0.0155358
0.000319, -0.015219
0.0003195, -0.0163538
0.00032, -0.0190919
0.0003205, -0.0235327
0.000321, -0.0297557
0.0003215, -0.0378319
0.000322, -0.0477959
0.0003225, -0.0595741
0.000323, -0.0729026
0.0003235, -0.0872763
0.000324, -0.10197
0.0003245, -0.116136
0.000325, -0.128944


